"Id","Раздел","Инструкция","Приоритет","Уровень пользователя","Сложность","Процессы","Ссылки на инструкции","Ответственный","Квартал","План дата","Статус","Проверил","Формат","Содержание","Распространённые ошибки","Комментарии/Задачи","Путь к оригиналу","Путь к публикации (диск P)","Путь к публикации (URL)"
"168","КР","ModPlus: Армирование колонн","0","Продвинутый","Средняя","Моделирование армирования колонн","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Армирование колонн ModPlus\Армирование колонн ModPlus.mov","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование колонн ModPlus.mov","https://rutube.ru/video/a9b80b2aca00444799131d19bb281ca5/?r=plemwd"
"169","КР","Плагин: Расстановка торцеобразователей","0","Продвинутый","Низкая","Моделирование плит","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Плагин - Расстановка торцеобразователей\Плагин - Расстановка торцеобразователей.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Плагин - Расстановка торцеобразователей.mp4","https://rutube.ru/video/2375b64ad6d0d3c5aba838effa9602d0/?r=plemwd"
"170","BIM, Общий","Подключение библиотек семейств и шаблонов","0","Продвинутый","Низкая","","","Калачев Д.А.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Подключение библиотек семейств и шаблонов\Подключение библиотек семейств и шаблонов.mp4","","https://rutube.ru/video/551c936fa1c91fa114ba5a45c88ed934/?r=plemwd"
"171","АР","Моделирование витражного проёма","0","Продвинутый","Средняя","Моделирование витражей","Настройка типоразмера витражного проёма","Красильников Д.С.","I 2025","","Готово","Попов А.М.","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Размещение витражного проема\Моделирование витражного проема.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Моделирование витражного проема.pdf","https://atom-bim.ru/Instruct/Revit/АР/Размещение_витражного_проема.php"
"172","КР","Спецификация размеров арматурных изделий","0","Базовый","Средняя","Оформление армирования","","Попов А.М.","I 2025","","Проверка","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Спецификация размеров арматурных изделий\Спецификация размеров арматурных изделий.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Спецификация размеров арматурных изделий.pdf","https://atom-bim.ru/Instruct/Revit/КР/Спецификация_размеров_арматурных_изделий.php"
"173","КР","Формирование ведомости расхода стали (ВРС)","0","Продвинутый","Средняя","Оформление армирования","","Попов А.М.","III 2025","","План","","Текст","","","","","",""
"174","АР","Оформление пожарных шкафов","1","Продвинутый","Низкая","","","","","","План","","Текст","","","","","",""
"175","Общий","Задание на отверстия","0","Базовый","Средняя","(Плагин) Задание на отверстия, маркировка элементов по категории","","Пятков Р.А., Колпаков С.Д.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\Инструкции Revit\!03 Revit ОВ_ВК\Задание на отверстия\Инструкция_Revit_Задание на отверстия v5.docx","https://atom-bim.ru/Instruct/Revit/%D0%9E%D0%92/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Revit_%D0%97%D0%B0%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%BE%D1%82%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B8%D1%8F_v5.php?id=19&Razdel=4","https://atom-bim.ru/Instruct/Revit/%D0%9E%D0%92/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Revit_%D0%97%D0%B0%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%BE%D1%82%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B8%D1%8F_v5.php?id=19&Razdel=4"
"176","Общий","Спецификация ОИМ","0","Продвинутый","Высокая","","","Колпаков С.Д., Пятков Р.А.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\Инструкции Revit\!03 Revit ОВ_ВК\Спецификация ОИМ\Инструкция_Revit_Спецификация_v3.2.docx","https://atom-bim.ru/Instruct/Revit/%D0%9E%D0%92/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Revit_%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F_v3.2.php?id=20&Razdel=4","https://atom-bim.ru/Instruct/Revit/%D0%9E%D0%92/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Revit_%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F_v3.2.php?id=20&Razdel=4"
"177","Общий","Загрузка семейств","0","Базовый","Низкая","","","Пятков Р.А.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\Инструкции Revit\Раздел ОВ\Инструкция_Revit_Загрузка семейств_v6.docx","https://atom-bim.ru/Instruct/Revit/%D0%9E%D0%B1%D1%89%D0%B8%D0%B5/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Revit_%D0%97%D0%B0%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B0_%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B2_v9.php?id=1&Razdel=1","https://atom-bim.ru/Instruct/Revit/%D0%9E%D0%B1%D1%89%D0%B8%D0%B5/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Revit_%D0%97%D0%B0%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B0_%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B2_v9.php?id=1&Razdel=1"
"178","ОВ, ВК, ЭЛ","Плагин. Диспетчер отверстий","0","Продвинутый","Средняя","","","Колпаков С.Д.","I 2025","22.05.2025","Корректировка","","Видео","","","","","https://rutube.ru/video/7739feefd5631670331b3bf7ced8c45b/?r=wd","https://rutube.ru/video/7739feefd5631670331b3bf7ced8c45b/?r=wd"
"179","ОВ, ВК, ЭЛ","Плагин. Задание на отверстия","0","Продвинутый","Средняя","","","Колпаков С.Д.","I 2025","22.05.2025","Корректировка","","Видео","","","","","https://rutube.ru/video/c235d19e03db2684c6d35994525ab545/?r=wd&p=kVL7DKgNCBygkhubrfJVCA","https://rutube.ru/video/c235d19e03db2684c6d35994525ab545/?r=wd&p=kVL7DKgNCBygkhubrfJVCA"
"180","АР","Настройка типоразмера перемычки","0","Продвинутый","Средняя","Моделирование перемычек","Вложенные семейства","Попов А.М.","II 2025","","Проверка","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка типорамзера перемычки\Настройка типоразмера перемычки.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Настройка типоразмера перемычки.pdf","https://atom-bim.ru/Instruct/Revit/КР/Настройка_типоразмера_перемычки.php"
"181","АР","Размещение перемычки","0","Продвинутый","Низкая","Моделирование перемычек, Моделирование окон, Моделирование дверей, Моделирование витражей","Настройка типоразмера перемычки","Попов А.М.","II 2025","","Проверка","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Размещение перемычки\Размещение перемычки.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Размещение перемычки.pdf","https://atom-bim.ru/Instruct/Revit/АР/Размещение_перемычки.php"
"182","АР, КР","Моделирование сборной лестницы","0","Продвинутый","Низкая","Моделирование лестниц","Вложенные семейства","Попов А.М.","III 2025","","План","","Текст","","","","","",""
"183","АР, КР","Моделирование ограждения лестницы СП.ОГВ","0","Продвинутый","Низкая","Моделирование лестниц","","Попов А.М.","III 2025","","План","","Текст","","","","","",""
"184","КР","Моделирование приямков","0","Продвинутый","Низкая","Моделирование плит, Моделирование фундаментов","Модель в контексте: Сдвиг и полый элемент выдавливания, Модель в контексте: Выдавливание","Попов А.М.","","","План","","Текст","","","","","",""
"185","Общий","Плагин: Экспорт Navisworks","0","Продвинутый","Низкая","Проверка коллизий","","Попов А.М.","","","План","","Текст","","","","","",""
"186","Общий","Плагин: Экспорт FBX","0","Продвинутый","Низкая","Подготовка моделей к визуализации","","Попов А.М.","","","План","","Текст","","","","","",""
"187","Общий","Плагин: Пакетное сжатие","0","Продвинутый","Низкая","Координация моделей","","Попов А.М.","","","План","","Текст","","","","","",""
"188","АР","Использование цветовой схемы помещений","0","Базовый","Низкая","","","Попов А.М.","","","План","","","","","","","",""
"189","Общий","Размещение пользовательских семейств","0","Базовый","Низкая","","","Попов А.М.","","","План","","","","","","","",""
"190","Общий","Создание нового типоразмера семейства","0","Базовый","Низкая","","","Попов А.М.","","","План","","","","","","","",""
"191","Общий","Плагин: Диспетчер коллизий","0","Продвинутый","Низкая","Исправление коллизий","","Попов А.М.","","","План","","","","","","","",""
"192","Общий","Вложенные семейства","0","Базовый","Низкая","","","Попов А.М.","","","План","","","","","","","",""
"193","АР","Проверка радиуса выезда машино-мест","0","Продвинутый","Низкая","Проверка помещений","","Попов А.М.","II 2025","","Проверка","","Текст","Показан инструмент для построения радиуса движения автомобиля на плане.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Проверка радиуса выезда машино-мест\Проверка радиуса выезда машино-мест.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Проверка радиуса выезда машино-мест.pdf","https://atom-bim.ru/Instruct/Revit/АР/Проверка_радиуса_выезда_машино-мест.php"
"194","АР","Маркировка элементов на кладочном плане","0","Продвинутый","Низкая","Оформление кладочного плана","","Попов А.М.","","","План","","Текст","","","","","",""
"195","АР","Настройка видимости кладочного плана","0","Продвинутый","Низкая","Оформление кладочного плана","","Попов А.М.","","","План","","Текст","","","","","",""
"196","АР","Нанесение размеров на кладочном плане","0","Продвинутый","Низкая","Оформление кладочного плана","","Попов А.М.","","","План","","Текст","","","","","",""
"197","АР","Маркировка элементов на отделочном плане","0","Продвинутый","Низкая","Оформелние отделочного плана","","Попов А.М.","","","План","","Текст","","","","","",""
"198","АР","Настройка видимости отделочного плана","0","Продвинутый","Низкая","Оформелние отделочного плана","","Попов А.М.","","","План","","Текст","","","","","",""
"199","АР","Нанесение размеров на отделочном плане","0","Продвинутый","Низкая","Оформелние отделочного плана","","Попов А.М.","","","План","","Текст","","","","","",""
"200","КР","Оформление ведомости отверстий КР","0","Продвинутый","Низкая","Оформление опалубочного плана вертикальных конструкций, Оформление опалубочного плана плиты перекрытия","","Попов А.М.","","","План","","Текст","","","","","",""
"201","АР","Оформление ведомости отверстий АР","0","Продвинутый","Низкая","Оформление кладочного плана, Оформелние отделочного плана","","Попов А.М.","","","План","","Текст","","","","","",""
"202","АР","Проверка группы модели стен на 3D виде","0","Продвинутый","Низкая","","Таблица идентификации АР, Плагин: Граница 3D вида","Попов А.М.","II 2025","","Проверка","","Текст","Показан инструмент проверки корректности заполнения параметра Группа модели наружных и внутренних стен модели.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Проверка группы модели стен на 3D виде\Проверка группы модели стен на 3D виде.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Проверка группы модели стен на 3D виде.pdf","https://atom-bim.ru/Instruct/Revit/АР/Проверка_группы_модели_стен_на_3D_виде.php"
"203","АР","Проверка описания наружных стен на 3D виде","0","Продвинутый","Низкая","","Таблица идентификации АР, Плагин: Граница 3D вида","Попов А.М.","II 2025","","Проверка","","Текст","Показан инструмент проверки корректности заполнения параметра Описания наружных стен модели.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Проверка описания наружных стен на 3D виде\Проверка описания наружных стен на 3D виде.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Проверка описания наружных стен на 3D виде.pdf","https://atom-bim.ru/Instruct/Revit/АР/Проверка_описания_наружных_стен_на_3D_виде.php"
"204","Общий","Плагин: Граница 3D вида","0","Продвинутый","Низкая","","","Попов А.М.","III 2025","","План","","","","","","","",""
"205","АР","Заполнение бланка задания на разработку стадии Р","0","Продвинутый","Низкая","Оформление задания на разработку стадии П","ModPlus: Дубликатор листов","Попов А.М.","II 2025","","Проверка","","Текст","Показан алгоритм заполнения бланка задания АР на разработку стадии Р для инженерных разделов. Приведён пример заполненного бланка.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Заполнение бланка задания на разработку стадии Р\Заполнение бланка задания на разработку стадии Р.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Заполнение бланка задания на разработку стадии Р.pdf","https://atom-bim.ru/Instruct/Revit/АР/Заполнение_бланка_задания_на__стадии_Р"
"206","Общий","ModPlus: Дубликатор листов","0","Продвинутый","Низкая","","","","","","Готово","","Внешний ресурс","Документация к плагину для копирования листов.","","","","https://modplus.org/ru/revitplugins/mprsheetcopy","https://modplus.org/ru/revitplugins/mprsheetcopy"
"207","КР","ModPlus: Разделение арматуры","0","Продвинутый","Низкая","","","","","","Готово","","Внешний ресурс","Документация к плагину для разделения арматурных стержней по длине с различными вариантами стыковки.","","","","https://modplus.org/ru/revitplugins/mprsplitrebar","https://modplus.org/ru/revitplugins/mprsplitrebar"
"208","Общий","ModPlus: Разбить размеры","0","Продвинутый","Низкая","","","","","","Готово","","Внешний ресурс","Документация к плагину для создания новых размеров из сегментов выбранной размерной цепочки.","","","","https://modplus.org/ru/revitplugins/mprsplitdimchain","https://modplus.org/ru/revitplugins/mprsplitdimchain"
"209","Общий","ModPlus: Нумератор листов","0","Продвинутый","Низкая","","","","","","Готово","","Внешний ресурс","Документация к плагину для перенумерации листов в проекте.","","","","https://modplus.org/ru/revitplugins/mprsheetrenumber","https://modplus.org/ru/revitplugins/mprsheetrenumber"
"210","Общий","ModPlus: Поиск и замена","0","Продвинутый","Низкая","","","","","","Готово","","Внешний ресурс","Документация к плагину для поиска и змены текста в выбранных областях, включая текст в параметрах типа и экземпляра.","","","","https://modplus.org/ru/revitplugins/mprfindandreplace","https://modplus.org/ru/revitplugins/mprfindandreplace"
"211","АР","Восстановление неокружённых помещений","0","Базовый","Низкая","Моделирование помещений, Проверка помещений","Обновление связей, Плагин: Диспетчер связей","Попов А.М.","II 2025","","Проверка","","Текст","Показан способ восстановить границы неокруженных помещений, которые слетели после выгрузики связей КР.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Восстановление неокружённых помещений\Восстановление неокружённых помещений.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Восстановление неокружённых помещений.pdf","ttps://atom-bim.ru/Instruct/Revit/АР/Восстановление_неокружённых_помещений.php"
"212","Общий","Копирование элементов внутри модели через буфер","0","Базовый","Низкая","","","Попов А.М.","III 2025","","План","","Текст","Показаны способы копирования элементов через встроенный в Revit буфер.","","","","",""
"213","Общий","Копирование элеменентов из связанного файла через буфер","0","Базовый","Низкая","","","Попов А.М.","III 2025","","План","","Текст","Показаны способы копирования элементов из связанной модели через встроенный в Revit буфер. ","","","","",""
"214","КР","Моделирование гильз","0","Базовый","Низкая","Моделирование отверстий КР","","Попов А.М.","II 2025","","Проверка","","Текст","Описаны правила моделирования гильз в стенах и перекрытиях.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Моделирование гильз\Моделирование гильз.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Моделирование гильз.pdf","https://atom-bim.ru/Instruct/Revit/КР/Моделирование_гильз.php"
"215","КР","Настройка спецификации гильз","0","Базовый","Низкая","Оформление отверстий КР","","Попов А.М.","II 2025","","Проверка","","Текст","Описана последовательность действий по настройке спецификации гильз.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Оформление спецификации гильз\Оформление спецификации гильз.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Оформление спецификации гильз.pdf","https://atom-bim.ru/Instruct/Revit/КР/Оформление_спецификации_гильз.php"
"216","АР, КР","Моделирование гидрошпонок","0","Базовый","Низкая","","","Попов А.М.","II 2025","","Готово","","Текст","Описана настройка типоразмера гидрошпонок и последовательность моделирования.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Моделирование гидрошпонок\Моделирование гидрошпонок.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Моделирование гидрошпонок.pdf",""
"217","АР, КР","Настройка спецификации гидрошпонок","0","Базовый","Низкая","","","Попов А.М.","II 2025","","Готово","","Текст","Описана настройка спецификации гидрошпонок.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка спецификации гидрошпонок\Настройка спецификации гидрошпонок.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Настройка спецификации гидрошпонок.pdf",""
"218","НВК, ТС, НСС, ЭН","Трубопроводная сеть на основе полилинии","0","Базовый","Низкая","Моделирование трубопроводной сети","","Галиева Е.Р.","I 2025","","Готово","","Текст","Описан процесс моделирования трубопроводной сети","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%A2%D1%80%D1%83%D0%B1%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D1%81%D0%B5%D1%82%D1%8C_%D0%BD%D0%B0_%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5_%D0%BF%D0%BE%D0%BB%D0%B8%D0%BB%D0%B8%D0%BD%D0%B8%D0%B8_v1.php?id=108&Razdel=7"
"219","НВК, ТС, НСС, ЭН","Трубопроводная сеть на основе трассы","0","Базовый","Низкая","Моделирование трубопроводной сети","","Галиева Е.Р.","I 2025","","Готово","","Текст","Описан процесс моделирования трубопроводной сети","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%A2%D1%80%D1%83%D0%B1%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D1%81%D0%B5%D1%82%D1%8C_%D0%BD%D0%B0_%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5_%D1%82%D1%80%D0%B0%D1%81%D1%81%D1%8B_v2.php?id=107&Razdel=7"
"220","ГП, ПОС, ТС, НВК, НСС, ЭН","Быстрая ссылка на поверхность","0","Базовый","Низкая","Работа с быстрыми ссылками","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процес ссоздания быстрой ссылки на существующую поверхность","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%91%D1%8B%D1%81%D1%82%D1%80%D0%B0%D1%8F_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B0_%D0%BD%D0%B0_%D0%BF%D0%BE%D0%B2%D0%B5%D1%80%D1%85%D0%BD%D0%BE%D1%81%D1%82%D1%8C.php"
"221","ГП, ПОС","Картограмма","0","Базовый","Средняя","Подсчет земельных работ","Быстрая ссылка на поверхность, Быстрые ссылки, Файлы смежников","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процес работы с модулем картограммы","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%98%D0%BDc%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Civil_%D0%9A%D0%B0%D1%80%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0_v1.php?id=103&Razdel=7"
"222","ГП","Координирование","0","Базовый","Средняя","Координирование участка","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс координирования участка и отдельных объектов участка","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%9A%D0%BE%D0%BE%D1%80%D0%B4%D0%B8%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_v1.php?id=30&Razdel=7"
"223","ГП, ПОС, ТС, НВК, НСС, ЭН","Наборы характеристик и спецификаций","0","Продвинутый","Средняя","Работа с наборами характеристик","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описаны приемы работы с наборами характеристик для создания таблиц спецификаций","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%9D%D0%B0%D0%B1%D0%BE%D1%80%D1%8B_%D1%85%D0%B0%D1%80%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%BA_%D0%B8_%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D1%8B_%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B9_v1.php?id=31&Razdel=7"
"224","ПОС","Создание котлована","0","Базовый","Средняя","Моделирование котлована","Файлы смежников, Конфигурации слоев, Наборы характеристик и спецификаций, Откосы","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс моделирования котлована","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BA%D0%BE%D1%82%D0%BB%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0_v2.php?id=35&Razdel=7"
"225","ПОС","Обратная засыпка котлована","0","Базовый","Средняя","Моделирование котлована","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс моделирования обратной засыпки котлована","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%9E%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D0%B0%D1%8F_%D0%B7%D0%B0%D1%81%D1%8B%D0%BF%D0%BA%D0%B0_%D0%BA%D0%BE%D1%82%D0%BB%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0_v1.php?id=106&Razdel=7"
"226","ГП","Покрытия","0","Продвинутый","Средняя","Моделирование покрытий","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описаны процессы создания слоев покрытий, получения тел и заполнение наборов характеристик с использованием скрипта Dynamo","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%9F%D0%BE%D0%BA%D1%80%D1%8B%D1%82%D0%B8%D1%8F_v2.php?id=32&Razdel=7"
"227","ГП","Создание поверхности существующего рельефа","0","Базовый","Низкая","Моделирование поверхности","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс создания поверхности существующего рельефа на основе двухмерной съемки","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BF%D0%BE%D0%B2%D0%B5%D1%80%D1%85%D0%BD%D0%BE%D1%81%D1%82%D0%B8_%D1%81%D1%83%D1%89%D0%B5%D1%81%D1%82%D0%B2%D1%83%D1%8E%D1%89%D0%B5%D0%B3%D0%BE_%D1%80%D0%B5%D0%BB%D1%8C%D0%B5%D1%84%D0%B0_v1.php?id=36&Razdel=7"
"228","ГП","Создание поверхности из горизонталей","0","Базовый","Низкая","Моделирование поверхности","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс создания проектной поверхности на основе пользовательских горизонталей","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BF%D0%BE%D0%B2%D0%B5%D1%80%D1%85%D0%BD%D0%BE%D1%81%D1%82%D0%B8_%D0%B8%D0%B7_%D0%B3%D0%BE%D1%80%D0%B8%D0%B7%D0%BE%D0%BD%D1%82%D0%B0%D0%BB%D0%B5%D0%B9_v1.php?id=105&Razdel=7"
"229","ГП","Тела","0","Продвинутый","Средняя","Работа с наборами характеристик","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описаны процессы создания тел из поверхностей и трубопроводных сетей и добавления к ним наборов характеристик","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%A2%D0%B5%D0%BB%D0%B0_v1.php?id=104&Razdel=7"
"230","ГП, ПОС, ТС, НВК, НСС, ЭН","Файлы смежников","0","Базовый","Средняя","Совместная работа","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс работы с внешними ссылками","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%A4%D0%B0%D0%B9%D0%BB%D1%8B_%D1%81%D0%BC%D0%B5%D0%B6%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2_CIVIL3D_v1.php?id=37&Razdel=7"
"231","ГП, ПОС, ТС, НВК, НСС, ЭН","Конфигурации слоев","0","Базовый","Средняя","Совместная работа","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс работы со снимками слоев файла чертежа и внешних ссылок","","","","",""
"232","ГП, ПОС, ТС, НВК, НСС, ЭН","Комплект чертежей","0","Базовый","Низкая","Совместная работа","","Галиева Е.Р.","IV 2024","","Готово","","Текст","Описан процесс создания архивного файла для передачи сторонним подрядчикам и для хранения в папке архива","","","","",""
"233","ГП, ПОС, ТС, НВК, НСС, ЭН","Быстрые ссылки","0","Базовый","Низкая","Работа с быстрыми ссылками","","Галиева Е.Р.","II 2025","","Готово","","Текст","Описаны процессы работами с быстрыми ссылками на данные","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%91%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8_v1.php?id=102&Razdel=7"
"234","ГП, ПОС","О наборах характеристик","0","Базовый","Средняя","Работа с наборами характеристик","","Галиева Е.Р.","IV 2024","","Готово","","Видео","Описана структура наборов характеристик ","","","","","https://rutube.ru/video/8c4405738e5621b2363475102d6b29f7/?r=plemwd"
"235","ГП","Площадь штриховок","0","Базовый","Низкая","Работа с наборами характеристик","","Галиева Е.Р.","IV 2024","","Готово","","Видео","Описан процесс применения наборов характеристик для подсчета площадей штриховок","","","","","https://rutube.ru/video/23bc589bd5082814a9cc14814e381a2e/?r=plemwd"
"236","КР","Организация параметров в шаблоне КЖ","0","Продвинутый","Средняя","Проверка армирования","","Попов А.М.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Организация параметров в шаблоне КЖ\Организация параметров в шаблоне КЖ.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Организация параметров в шаблоне КЖ.pdf",""
"237","КР","Нумерация позиций в спецификации через Modplus","0","Продвинутый","Низкая","Оформление армирования","","Попов А.М.","III 2025","","План","","Текст","","","","","",""
